Preguntas,Respuestas,Palabras clave
¿Qué implica el 'PAGO DIA DE LAS MADRES'?,El 'PAGO DIA DE LAS MADRES' es un incentivo económico que se otorga a los empleados en reconocimiento a esta celebración .,"PAGO DIA DE LAS MADRES, incentivo económico, celebración"
¿Qué son los 'JUGUETES NAVIDEÑOS'?,"Los 'JUGUETES NAVIDEÑOS' son un beneficio que se proporciona a los empleados, generalmente para sus hijos, durante la temporada navideña .","JUGUETES NAVIDEÑOS, beneficio, temporada navideña, hijos de empleados"
¿Qué es el 'BONO NAVIDEÑO'?,El 'BONO NAVIDEÑO' es un pago adicional que se otorga a los empleados durante la época navideña como un incentivo o regalo.,"BONO NAVIDEÑO, pago adicional, época navideña, incentivo"
¿Qué significa 'INTERESES FONDO DE AHORRO'?,'INTERESES FONDO DE AHORRO' se refiere a los intereses generados por el fondo de ahorro al que contribuyen los empleados.,"intereses fondo de ahorro, fondo de ahorro, empleados"
"¿Qué es el 'ESTIMULO ECONOMICO, CEREMONIA ESPECIAL'?","Este estímulo económico se otorga en ocasiones especiales, como ceremonias de reconocimiento o eventos institucionales.","ESTIMULO ECONOMICO, CEREMONIA ESPECIAL, ocasiones especiales, ceremonias, eventos institucionales"
¿Qué implica el 'BONO EXCELENCIA DOCENTE'?,El 'BONO EXCELENCIA DOCENTE' es un reconocimiento económico para aquellos docentes que demuestran un alto rendimiento en su labor educativa.,"BONO EXCELENCIA DOCENTE, reconocimiento económico, alto rendimiento docente"
¿Qué es la 'AYUDA ECON. INICIO CICLO ESCOLAR'?,Es un apoyo financiero que se otorga a los empleados para ayudar con los gastos que surgen al inicio del ciclo escolar.,"AYUDA ECON INICIO CICLO ESCOLAR, apoyo financiero, gastos del ciclo escolar"
¿Qué es el 'BONO ESPECIAL'?,"El 'BONO ESPECIAL' es un pago adicional que se otorga en circunstancias específicas, aunque no se detalla su criterio en el catálogo.","BONO ESPECIAL, pago adicional, circunstancias específicas"
¿Qué son los 'VALES DE UNIFORME FEMENINO Y MASCULINO'?,"Son vales que se proporcionan a los empleados para la adquisición de uniformes, tanto femeninos como masculinos.","VALES DE UNIFORME FEMENINO Y MASCULINO, adquisición de uniformes, empleados"
¿Qué significa 'DIFERENCIA DE AGUINALDO'?,Se refiere a un ajuste o pago adicional relacionado con el aguinaldo que se otorga a los empleados.,"DIFERENCIA DE AGUINALDO, ajuste, pago adicional, aguinaldo"
¿Qué es la 'DEVOLUCION FONDO DE PENSION'?,"Es un reembolso que se realiza a los empleados sobre las aportaciones que han hecho a su fondo de pensión, en este caso, del 1.50%.","DEVOLUCION FONDO DE PENSION, reembolso, aportaciones, fondo de pensión, 1.50%"
¿Qué implica el 'RETROACTIVO SERVICIO A GUARDERIA'?,Se refiere a un pago retroactivo que se otorga por servicios de guardería que no se habían pagado anteriormente.,"RETROACTIVO SERVICIO A GUARDERIA, pago retroactivo, servicios de guardería"
¿Qué es el 'RETROACTIVO RECON. ANTIGUEDAD'?,Es un pago retroactivo que se otorga a los empleados en reconocimiento a su antigüedad en la institución.,"RETROACTIVO RECON. ANTIGUEDAD, pago retroactivo, reconocimiento a la antigüedad"
¿Qué significa 'RET.APOYO DESPENSA FAMILIAR'?,Es un apoyo económico que se otorga a los empleados para ayudar con los gastos de despensa familiar.,"RET.APOYO DESPENSA FAMILIAR, apoyo económico, gastos de despensa"
¿Qué es el 'RET.APOYO MATERIAL DIDACTICO'?,Se refiere a un apoyo económico destinado a la adquisición de material didáctico para los docentes.,"RET.APOYO MATERIAL DIDACTICO, apoyo económico, material didáctico"
¿Qué es el 'DIPLOMA AL MERITO ACADEMICO'?,Es un reconocimiento que se otorga a los empleados por su desempeño académico destacado.,"DIPLOMA AL MERITO ACADEMICO, reconocimiento, desempeño académico"
¿Qué implica el 'RECONOC. DESEMP. ADMVO'?,Es un reconocimiento económico por el desempeño administrativo de los empleados.,"RECONOC. DESEMP. ADMVO, reconocimiento económico, desempeño administrativo"
¿Qué es el 'AGUINALDO'?,El 'AGUINALDO' es un pago anual que se otorga a los empleados como parte de sus beneficios laborales.,"AGUINALDO, pago anual, beneficios laborales"
¿Qué significa 'PRIMA DOMINICAL'?,La 'PRIMA DOMINICAL' es un pago adicional que se otorga a los empleados que trabajan en domingo.,"PRIMA DOMINICAL, pago adicional, trabajo en domingo"
¿Qué es el 'TIEMPO EXTRA EXENTO'?,Se refiere a las horas extra trabajadas que no están sujetas a impuestos.,"TIEMPO EXTRA EXENTO, horas extra, no sujetas a impuestos"
¿Qué implica el 'RETROACTIVO PRIMA DOMINICAL EXENTO'?,Es un pago retroactivo que se otorga por la prima dominical que no se había pagado anteriormente y que no está sujeta a impuestos.,"RETROACTIVO PRIMA DOMINICAL EXENTO, pago retroactivo, prima dominical, no sujeta a impuestos"
¿Qué es el 'APOYO EXTRAORDINARIO UNICO PPREDEPA'?,Es un apoyo económico único que se otorga a los empleados bajo el programa PPREDEPA.,"APOYO EXTRAORDINARIO UNICO PPREDEPA, apoyo económico, programa PPREDEPA"
¿Qué significa 'DEVOLUCION DESCUENTO 34 APORT.SPSU'?,Se refiere a la devolución de un descuento específico relacionado con las aportaciones al sistema de pensiones ,"DEVOLUCION DESCUENTO 34 APORT.SPSU, devolución, descuento, aportaciones al sistema de pensiones"
¿Qué es el 'BONO DE PERMANENCIA'?,Es un incentivo económico que se otorga a los empleados que permanecen en la institución durante un período determinado.,"BONO DE PERMANENCIA, incentivo económico, permanencia, retención de personal"
¿Qué implica el 'RECONOCIMIENTO A LA ANTIGUEDAD'?,Es un reconocimiento económico que se otorga a los empleados en función de sus años de servicio en la institución.,"RECONOCIMIENTO A LA ANTIGUEDAD, reconocimiento económico, años de servicio"
¿Qué es el 'SUBSIDIO AL EMPLEO'?,Es un apoyo económico que se otorga a los empleados para fomentar el empleo y la permanencia en la institución.,"SUBSIDIO AL EMPLEO, apoyo económico, fomentar empleo"
¿Qué significa 'SOBRE SUELDO'?,"El 'SOBRE SUELDO' es un pago adicional que se otorga a los empleados, generalmente por desempeño o responsabilidades adicionales.","SOBRE SUELDO, pago adicional, desempeño, responsabilidades"
¿Qué es el 'PAGO VACACIONES NO DISFRUTADAS'?,Es un pago que se otorga a los empleados que no han tomado sus días de vacaciones.,"PAGO VACACIONES NO DISFRUTADAS, compensación, días no tomados"
¿Qué implica el 'DEVOLUCION DE INCAPACIDADES DESC.DE MAS'?,Se refiere a la devolución de descuentos aplicados por incapacidades que fueron pagadas en exceso.,"DEVOLUCION DE INCAPACIDADES DESC.DE MAS, devolución, descuentos, incapacidades"
¿Qué es el 'PAGO POR NO PERDIR PERM. ADMVO'?,Es un pago que se otorga a los empleados que no han perdido permisos administrativos.,"PAGO POR NO PERDIR PERM. ADMVO, compensación, permisos administrativos no perdidos"
¿Qué significa 'RETROACTIVO REC. ANTIGUEDAD'?,Es un pago retroactivo que se otorga en reconocimiento a la antigüedad de los empleados.,"RETROACTIVO REC. ANTIGUEDAD, pago retroactivo, antigüedad"
¿Qué es la 'COMPENSACION'?,"La 'COMPENSACION' es un pago adicional que se otorga a los empleados por diversas razones, como desempeño o responsabilidades adicionales.","COMPENSACION, pago adicional, desempeño, responsabilidades"
¿Qué implica el 'RET. AYUDA PARA DESP. FAM.'?,Es un descuento relacionado con la ayuda económica que se otorga para la despensa familiar.,"RET. AYUDA PARA DESP. FAM., descuento, ayuda económica, despensa"
¿Qué es la 'AYUDA PARA DESPENSA FAMILIAR'?,Es un apoyo económico que se otorga a los empleados para ayudar con los gastos de despensa familiar.,"AYUDA PARA DESPENSA FAMILIAR, apoyo económico, gastos familiares"
